loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3066,Kepler-1778 b,Kepler-1778,1,1,2021,10.08740044,,,0,0.095600,,,0,3.017,,,0,9.36000,,,0,1276.2900000,49.7700000,-46.2300000
3067,Kepler-1779 b,Kepler-1779,1,1,2021,16.34359932,,,0,0.126400,,,0,3.033,,,0,9.44000,,,0,908.5010000,25.5370000,-24.2010000
3068,Kepler-178 b,Kepler-178,1,3,2014,9.57669400,0.00002100,-0.00002100,0,0.085000,,,0,2.900,1.250,-1.250,0,8.75000,,,0,716.0250000,10.3690000,-10.0820000
3069,Kepler-178 c,Kepler-178,1,3,2014,20.55280200,0.00006600,-0.00006600,0,0.142000,,,0,2.880,1.230,-1.230,0,8.65000,,,0,716.0250000,10.3690000,-10.0820000
3070,Kepler-178 d,Kepler-178,1,3,2014,96.67898800,0.00070200,-0.00070200,0,0.397000,,,0,3.950,1.700,-1.700,0,14.80000,,,0,716.0250000,10.3690000,-10.0820000
3071,Kepler-1780 b,Kepler-1780,1,1,2021,109.44499970,,,0,0.427600,,,0,3.606,,,0,12.70000,,,0,790.5160000,14.6085000,-14.6085000
3072,Kepler-1781 b,Kepler-1781,1,1,2021,4.88752985,,,0,0.057400,,,0,2.381,,,0,6.26000,,,0,962.6300000,34.9580000,-32.6300000
3073,Kepler-1782 b,Kepler-1782,1,1,2021,5.75622988,,,0,0.058200,,,0,2.229,,,0,5.60000,,,0,305.7920000,1.3900000,-1.3770000
3074,Kepler-1783 b,Kepler-1783,1,1,2021,8.27744007,,,0,0.077000,,,0,1.319,,,0,2.30000,,,0,264.0780000,1.2320000,-1.2200000
3075,Kepler-1784 b,Kepler-1784,1,1,2021,13.59049988,,,0,0.107200,,,0,2.799,,,0,8.24000,,,0,883.0450000,21.3090000,-20.3440000
3076,Kepler-1785 b,Kepler-1785,1,1,2021,19.58550072,,,0,0.137900,,,0,2.704,,,0,7.77000,,,0,745.7400000,10.6850000,-10.3930000
